iter	Passed	Remaining
0	64	64863
1	70	35008
2	74	24916
3	81	20197
4	86	17260
5	92	15335
6	98	13983
7	104	12966
8	111	12321
9	119	11796
10	125	11321
11	132	10895
12	138	10488
13	143	10128
14	149	9827
15	156	9601
16	161	9366
17	167	9137
18	173	8964
19	179	8817
20	185	8646
21	191	8531
22	198	8414
23	203	8282
24	209	8164
25	215	8061
26	221	7965
27	227	7886
28	233	7805
29	239	7729
30	244	7657
31	251	7601
32	256	7529
33	262	7463
34	269	7417
35	275	7371
36	281	7326
37	287	7276
38	293	7236
39	300	7203
40	305	7157
41	311	7114
42	318	7079
43	323	7037
44	330	7003
45	336	6975
46	342	6943
47	348	6910
48	354	6882
49	360	6850
50	366	6823
51	372	6796
52	378	6771
53	385	6747
54	391	6722
55	397	6698
56	403	6676
57	409	6657
58	415	6634
59	421	6611
60	427	6585
61	433	6560
62	439	6534
63	445	6509
64	451	6489
65	457	6470
66	462	6446
67	468	6424
68	474	6408
69	480	6382
70	486	6362
71	491	6340
72	497	6315
73	503	6294
74	509	6279
75	515	6263
76	520	6245
77	527	6230
78	533	6215
79	539	6202
80	545	6190
81	551	6178
82	557	6164
83	564	6155
84	570	6141
85	576	6131
86	583	6118
87	589	6104
88	594	6085
89	600	6074
90	606	6062
91	612	6049
92	618	6036
93	624	6022
94	630	6010
95	636	5994
96	642	5981
97	648	5967
98	654	5952
99	659	5937
100	664	5918
101	670	5904
102	676	5893
103	682	5879
104	688	5867
105	694	5857
106	699	5839
107	705	5825
108	711	5812
109	715	5791
110	721	5778
111	726	5764
112	732	5749
113	737	5733
114	742	5717
115	748	5705
116	753	5690
117	759	5678
118	765	5665
119	770	5649
120	776	5637
121	781	5622
122	786	5610
123	792	5596
124	797	5584
125	803	5574
126	808	5560
127	814	5546
128	819	5535
129	825	5525
130	831	5514
131	836	5503
132	842	5493
133	848	5480
134	853	5470
135	859	5461
136	864	5448
137	870	5437
138	875	5426
139	881	5417
140	887	5409
141	893	5399
142	899	5389
143	904	5378
144	910	5368
145	915	5357
146	921	5346
147	926	5336
148	932	5326
149	938	5315
150	943	5305
151	949	5297
152	955	5288
153	960	5278
154	966	5269
155	972	5260
156	978	5252
157	983	5242
158	989	5233
159	995	5225
160	1001	5220
161	1007	5212
162	1013	5203
163	1019	5195
164	1025	5187
165	1030	5179
166	1036	5168
167	1041	5158
168	1047	5149
169	1052	5140
170	1058	5132
171	1063	5121
172	1069	5114
173	1075	5106
174	1081	5097
175	1086	5088
176	1092	5080
177	1098	5072
178	1104	5064
179	1110	5059
180	1116	5052
181	1123	5047
182	1129	5041
183	1135	5034
184	1140	5026
185	1146	5019
186	1153	5013
187	1159	5008
188	1165	5000
189	1171	4994
190	1177	4987
191	1183	4979
192	1189	4971
193	1195	4968
194	1202	4962
195	1208	4958
196	1215	4953
197	1223	4956
198	1229	4950
199	1235	4942
200	1241	4935
201	1247	4928
202	1253	4922
203	1259	4914
204	1265	4908
205	1272	4902
206	1278	4896
207	1284	4890
208	1291	4886
209	1297	4879
210	1303	4875
211	1310	4869
212	1316	4862
213	1322	4856
214	1328	4850
215	1334	4845
216	1340	4838
217	1346	4831
218	1352	4823
219	1359	4818
220	1365	4812
221	1371	4807
222	1378	4802
223	1384	4795
224	1390	4788
225	1396	4781
226	1402	4775
227	1408	4769
228	1414	4763
229	1420	4755
230	1426	4749
231	1432	4742
232	1439	4737
233	1445	4731
234	1451	4725
235	1457	4719
236	1464	4713
237	1469	4706
238	1475	4699
239	1481	4692
240	1487	4685
241	1493	4678
242	1499	4672
243	1506	4666
244	1511	4659
245	1517	4651
246	1523	4645
247	1529	4638
248	1535	4631
249	1541	4624
250	1547	4618
251	1553	4611
252	1559	4605
253	1565	4598
254	1571	4591
255	1577	4585
256	1583	4578
257	1590	4573
258	1597	4570
259	1604	4567
260	1611	4561
261	1617	4555
262	1622	4547
263	1628	4541
264	1635	4535
265	1640	4527
266	1646	4521
267	1653	4515
268	1659	4508
269	1665	4501
270	1670	4494
271	1676	4487
272	1682	4481
273	1689	4476
274	1695	4469
275	1701	4463
276	1707	4456
277	1713	4450
278	1719	4444
279	1725	4436
280	1730	4429
281	1736	4421
282	1743	4416
283	1749	4409
284	1755	4403
285	1761	4396
286	1767	4390
287	1773	4384
288	1779	4377
289	1786	4372
290	1792	4366
291	1798	4361
292	1804	4354
293	1810	4347
294	1816	4341
295	1822	4334
296	1828	4328
297	1834	4322
298	1841	4316
299	1846	4309
300	1852	4303
301	1859	4296
302	1864	4289
303	1870	4282
304	1876	4276
305	1882	4269
306	1888	4262
307	1894	4256
308	1900	4249
309	1909	4249
310	1918	4251
311	1929	4253
312	1938	4254
313	1945	4250
314	1951	4243
315	1957	4237
316	1963	4231
317	1969	4224
318	1975	4216
319	1981	4210
320	1987	4204
321	1993	4197
322	1999	4191
323	2005	4185
324	2011	4177
325	2017	4171
326	2023	4164
327	2029	4157
328	2035	4151
329	2041	4145
330	2047	4138
331	2053	4131
332	2059	4125
333	2065	4119
334	2071	4112
335	2077	4106
336	2084	4100
337	2090	4094
338	2096	4087
339	2103	4082
340	2109	4076
341	2116	4071
342	2122	4065
343	2128	4058
344	2134	4052
345	2141	4047
346	2147	4040
347	2152	4033
348	2158	4026
349	2164	4019
350	2169	4012
351	2175	4004
352	2181	3997
353	2186	3990
354	2192	3983
355	2197	3975
356	2203	3968
357	2208	3961
358	2214	3953
359	2220	3947
360	2225	3940
361	2231	3933
362	2237	3926
363	2243	3920
364	2249	3913
365	2255	3907
366	2261	3901
367	2267	3894
368	2273	3888
369	2280	3882
370	2286	3876
371	2292	3869
372	2298	3864
373	2304	3857
374	2310	3850
375	2316	3843
376	2321	3836
377	2328	3830
378	2334	3824
379	2340	3818
380	2346	3812
381	2352	3806
382	2358	3799
383	2365	3793
384	2370	3787
385	2376	3780
386	2382	3774
387	2389	3768
388	2395	3762
389	2401	3756
390	2407	3750
391	2414	3744
392	2420	3738
393	2426	3731
394	2432	3726
395	2439	3720
396	2444	3713
397	2451	3707
398	2457	3701
399	2463	3695
400	2470	3689
401	2476	3684
402	2482	3677
403	2488	3671
404	2494	3664
405	2500	3658
406	2506	3652
407	2512	3645
408	2518	3639
409	2524	3633
410	2531	3627
411	2536	3620
412	2542	3613
413	2548	3607
414	2555	3601
415	2561	3595
416	2567	3589
417	2573	3582
418	2579	3576
419	2585	3570
420	2591	3564
421	2598	3558
422	2603	3551
423	2609	3545
424	2615	3538
425	2621	3532
426	2627	3525
427	2633	3519
428	2639	3513
429	2645	3506
430	2651	3500
431	2657	3493
432	2663	3487
433	2669	3480
434	2675	3474
435	2681	3468
436	2688	3463
437	2694	3457
438	2700	3450
439	2706	3444
440	2712	3438
441	2718	3432
442	2725	3426
443	2731	3420
444	2737	3413
445	2743	3408
446	2749	3401
447	2755	3395
448	2761	3388
449	2766	3381
450	2772	3375
451	2778	3368
452	2784	3361
453	2789	3355
454	2796	3349
455	2802	3343
456	2809	3337
457	2815	3331
458	2821	3325
459	2827	3319
460	2833	3313
461	2840	3307
462	2846	3301
463	2852	3294
464	2858	3288
465	2864	3282
466	2870	3276
467	2876	3269
468	2882	3263
469	2888	3257
470	2894	3251
471	2901	3245
472	2907	3239
473	2913	3232
474	2919	3226
475	2925	3220
476	2930	3213
477	2936	3207
478	2942	3200
479	2948	3194
480	2954	3188
481	2960	3181
482	2966	3175
483	2972	3169
484	2978	3163
485	2984	3156
486	2991	3150
487	2996	3144
488	3002	3137
489	3008	3131
490	3014	3125
491	3020	3119
492	3027	3113
493	3033	3107
494	3039	3101
495	3045	3095
496	3051	3088
497	3058	3082
498	3064	3076
499	3070	3070
500	3076	3064
501	3083	3058
502	3088	3052
503	3095	3045
504	3101	3040
505	3107	3034
506	3114	3028
507	3120	3021
508	3126	3015
509	3132	3009
510	3138	3003
511	3144	2996
512	3150	2990
513	3156	2984
514	3162	2978
515	3168	2972
516	3175	2966
517	3181	2960
518	3187	2954
519	3193	2948
520	3200	2942
521	3205	2935
522	3211	2929
523	3218	2923
524	3224	2917
525	3230	2911
526	3237	2905
527	3243	2899
528	3249	2893
529	3255	2887
530	3261	2880
531	3268	2875
532	3274	2868
533	3280	2862
534	3285	2856
535	3291	2849
536	3297	2843
537	3303	2837
538	3309	2830
539	3315	2824
540	3321	2818
541	3328	2812
542	3334	2806
543	3339	2799
544	3345	2793
545	3352	2787
546	3358	2781
547	3364	2775
548	3370	2769
549	3376	2762
550	3382	2756
551	3389	2751
552	3395	2744
553	3401	2738
554	3406	2731
555	3412	2724
556	3418	2718
557	3424	2712
558	3430	2706
559	3436	2700
560	3442	2694
561	3448	2687
562	3454	2681
563	3461	2675
564	3467	2669
565	3473	2663
566	3479	2657
567	3485	2651
568	3491	2644
569	3497	2638
570	3503	2632
571	3509	2626
572	3515	2619
573	3521	2613
574	3527	2607
575	3534	2601
576	3540	2595
577	3546	2589
578	3552	2582
579	3558	2576
580	3564	2570
581	3570	2564
582	3576	2557
583	3582	2551
584	3588	2545
585	3594	2539
586	3600	2533
587	3606	2527
588	3613	2521
589	3619	2514
590	3625	2508
591	3631	2502
592	3637	2496
593	3643	2490
594	3649	2484
595	3655	2477
596	3661	2471
597	3667	2465
598	3674	2459
599	3680	2453
600	3686	2447
601	3692	2441
602	3698	2434
603	3704	2428
604	3710	2422
605	3716	2416
606	3722	2409
607	3728	2404
608	3735	2398
609	3741	2391
610	3747	2385
611	3753	2379
612	3759	2373
613	3765	2367
614	3771	2361
615	3778	2355
616	3783	2348
617	3790	2342
618	3796	2336
619	3802	2330
620	3808	2324
621	3814	2317
622	3820	2311
623	3826	2305
624	3832	2299
625	3838	2293
626	3844	2287
627	3850	2281
628	3857	2275
629	3863	2268
630	3869	2262
631	3875	2256
632	3881	2250
633	3887	2244
634	3893	2238
635	3899	2232
636	3906	2226
637	3911	2219
638	3918	2213
639	3924	2207
640	3930	2201
641	3936	2194
642	3942	2188
643	3948	2182
644	3955	2176
645	3961	2170
646	3967	2164
647	3973	2158
648	3980	2152
649	3985	2146
650	3991	2139
651	3997	2133
652	4003	2127
653	4009	2121
654	4015	2114
655	4021	2108
656	4027	2102
657	4033	2096
658	4038	2089
659	4045	2083
660	4051	2077
661	4057	2071
662	4063	2065
663	4069	2059
664	4075	2053
665	4082	2047
666	4087	2040
667	4094	2034
668	4100	2028
669	4106	2022
670	4112	2016
671	4118	2010
672	4124	2004
673	4130	1997
674	4136	1991
675	4142	1985
676	4148	1979
677	4154	1973
678	4160	1967
679	4166	1960
680	4173	1954
681	4179	1948
682	4185	1942
683	4191	1936
684	4197	1930
685	4203	1923
686	4209	1917
687	4215	1911
688	4221	1905
689	4227	1899
690	4232	1892
691	4239	1886
692	4245	1880
693	4251	1874
694	4257	1868
695	4263	1862
696	4269	1856
697	4275	1849
698	4281	1843
699	4287	1837
700	4294	1831
701	4300	1825
702	4306	1819
703	4312	1813
704	4318	1807
705	4324	1801
706	4330	1794
707	4336	1788
708	4342	1782
709	4348	1776
710	4354	1770
711	4361	1764
712	4367	1757
713	4373	1751
714	4379	1745
715	4385	1739
716	4391	1733
717	4398	1727
718	4403	1721
719	4409	1714
720	4415	1708
721	4421	1702
722	4428	1696
723	4434	1690
724	4440	1684
725	4446	1678
726	4452	1672
727	4458	1665
728	4464	1659
729	4470	1653
730	4476	1647
731	4482	1641
732	4488	1635
733	4494	1628
734	4500	1622
735	4506	1616
736	4512	1610
737	4518	1604
738	4524	1597
739	4530	1591
740	4536	1585
741	4542	1579
742	4548	1573
743	4554	1567
744	4564	1562
745	4579	1559
746	4590	1554
747	4596	1548
748	4602	1542
749	4608	1536
750	4614	1529
751	4620	1523
752	4626	1517
753	4632	1511
754	4638	1505
755	4644	1499
756	4650	1492
757	4657	1486
758	4663	1480
759	4669	1474
760	4675	1468
761	4681	1462
762	4687	1455
763	4693	1449
764	4699	1443
765	4705	1437
766	4711	1431
767	4718	1425
768	4724	1419
769	4730	1412
770	4735	1406
771	4741	1400
772	4748	1394
773	4754	1388
774	4760	1382
775	4766	1376
776	4772	1369
777	4778	1363
778	4784	1357
779	4790	1351
780	4796	1345
781	4803	1339
782	4809	1332
783	4815	1326
784	4821	1320
785	4827	1314
786	4833	1308
787	4839	1301
788	4845	1295
789	4851	1289
790	4856	1283
791	4862	1276
792	4868	1270
793	4874	1264
794	4879	1258
795	4885	1252
796	4891	1245
797	4897	1239
798	4903	1233
799	4909	1227
800	4915	1221
801	4921	1215
802	4927	1208
803	4934	1202
804	4940	1196
805	4946	1190
806	4952	1184
807	4958	1178
808	4965	1172
809	4971	1166
810	4977	1160
811	4983	1153
812	4989	1147
813	4996	1141
814	5002	1135
815	5008	1129
816	5014	1123
817	5019	1116
818	5026	1110
819	5032	1104
820	5038	1098
821	5044	1092
822	5051	1086
823	5057	1080
824	5063	1074
825	5070	1068
826	5076	1061
827	5082	1055
828	5089	1049
829	5095	1043
830	5101	1037
831	5107	1031
832	5113	1025
833	5119	1018
834	5125	1012
835	5131	1006
836	5137	1000
837	5143	994
838	5149	988
839	5155	981
840	5161	975
841	5167	969
842	5174	963
843	5179	957
844	5186	951
845	5192	945
846	5198	938
847	5204	932
848	5210	926
849	5216	920
850	5222	914
851	5229	908
852	5235	902
853	5241	896
854	5247	889
855	5253	883
856	5259	877
857	5265	871
858	5271	865
859	5277	859
860	5283	852
861	5289	846
862	5295	840
863	5301	834
864	5307	828
865	5313	822
866	5319	816
867	5326	810
868	5332	803
869	5338	797
870	5345	791
871	5351	785
872	5357	779
873	5363	773
874	5369	767
875	5375	760
876	5381	754
877	5387	748
878	5393	742
879	5399	736
880	5406	730
881	5412	724
882	5418	717
883	5424	711
884	5430	705
885	5436	699
886	5442	693
887	5448	687
888	5454	681
889	5460	674
890	5466	668
891	5472	662
892	5478	656
893	5484	650
894	5490	644
895	5496	637
896	5502	631
897	5508	625
898	5514	619
899	5521	613
900	5526	607
901	5532	601
902	5538	594
903	5543	588
904	5551	582
905	5559	576
906	5567	570
907	5573	564
908	5579	558
909	5586	552
910	5592	546
911	5598	540
912	5604	534
913	5610	527
914	5617	521
915	5622	515
916	5628	509
917	5634	503
918	5640	497
919	5646	491
920	5653	484
921	5659	478
922	5665	472
923	5671	466
924	5677	460
925	5683	454
926	5690	448
927	5696	441
928	5702	435
929	5708	429
930	5715	423
931	5721	417
932	5727	411
933	5733	405
934	5739	399
935	5745	392
936	5751	386
937	5757	380
938	5762	374
939	5768	368
940	5774	362
941	5781	355
942	5787	349
943	5793	343
944	5799	337
945	5805	331
946	5811	325
947	5817	319
948	5823	312
949	5830	306
950	5836	300
951	5842	294
952	5848	288
953	5855	282
954	5861	276
955	5867	270
956	5873	263
957	5880	257
958	5886	251
959	5892	245
960	5898	239
961	5904	233
962	5910	227
963	5916	220
964	5922	214
965	5928	208
966	5934	202
967	5940	196
968	5946	190
969	5952	184
970	5958	177
971	5964	171
972	5970	165
973	5976	159
974	5982	153
975	5988	147
976	5994	141
977	6001	134
978	6007	128
979	6013	122
980	6018	116
981	6024	110
982	6030	104
983	6036	98
984	6042	92
985	6049	85
986	6055	79
987	6061	73
988	6067	67
989	6074	61
990	6080	55
991	6087	49
992	6093	42
993	6099	36
994	6105	30
995	6111	24
996	6118	18
997	6124	12
998	6130	6
999	6137	0
