iter	Passed	Remaining
0	67	67227
1	73	36605
2	79	26295
3	86	21514
4	92	18445
5	98	16285
6	103	14715
7	109	13568
8	115	12772
9	121	12074
10	128	11513
11	133	11017
12	139	10612
13	145	10268
14	151	9949
15	157	9659
16	163	9437
17	170	9280
18	176	9096
19	182	8930
20	189	8823
21	195	8677
22	201	8541
23	206	8403
24	212	8296
25	219	8208
26	224	8108
27	230	8016
28	237	7939
29	243	7867
30	249	7805
31	255	7718
32	260	7644
33	266	7584
34	272	7511
35	278	7453
36	284	7408
37	290	7345
38	295	7292
39	302	7248
40	308	7210
41	313	7159
42	319	7117
43	325	7071
44	331	7027
45	336	6983
46	342	6945
47	347	6898
48	353	6861
49	359	6822
50	364	6789
51	370	6755
52	376	6727
53	382	6694
54	387	6665
55	392	6623
56	398	6591
57	404	6567
58	410	6545
59	416	6522
60	422	6496
61	427	6473
62	433	6453
63	440	6437
64	446	6416
65	452	6401
66	458	6384
67	464	6363
68	469	6339
69	476	6324
70	482	6312
71	488	6299
72	494	6280
73	500	6261
74	506	6247
75	512	6233
76	518	6214
77	524	6200
78	530	6179
79	536	6164
80	542	6150
81	548	6139
82	554	6128
83	560	6111
84	566	6097
85	572	6084
86	578	6070
87	584	6053
88	590	6042
89	596	6031
90	602	6018
91	608	6006
92	614	5995
93	620	5984
94	626	5971
95	632	5955
96	638	5943
97	643	5926
98	649	5909
99	655	5901
100	661	5891
101	667	5876
102	675	5881
103	681	5867
104	687	5863
105	694	5856
106	700	5843
107	707	5841
108	713	5832
109	720	5831
110	726	5819
111	732	5808
112	738	5795
113	744	5785
114	750	5773
115	756	5766
116	762	5754
117	769	5749
118	775	5739
119	780	5726
120	787	5720
121	792	5706
122	798	5693
123	806	5699
124	813	5692
125	820	5692
126	826	5682
127	831	5667
128	840	5674
129	847	5671
130	854	5665
131	859	5652
132	867	5655
133	873	5647
134	880	5644
135	887	5639
136	893	5625
137	899	5621
138	906	5612
139	912	5607
140	920	5610
141	929	5618
142	938	5623
143	946	5628
144	967	5704
145	979	5726
146	992	5756
147	999	5752
148	1005	5740
149	1011	5733
150	1018	5728
151	1025	5721
152	1032	5714
153	1038	5703
154	1044	5695
155	1052	5695
156	1058	5683
157	1066	5681
158	1072	5670
159	1079	5665
160	1084	5653
161	1090	5641
162	1097	5635
163	1103	5626
164	1109	5616
165	1116	5608
166	1122	5598
167	1128	5590
168	1134	5578
169	1140	5568
170	1147	5562
171	1153	5551
172	1159	5542
173	1165	5534
174	1170	5520
175	1177	5514
176	1183	5504
177	1189	5494
178	1196	5489
179	1202	5479
180	1209	5472
181	1215	5464
182	1221	5453
183	1228	5450
184	1234	5439
185	1240	5429
186	1247	5423
187	1253	5412
188	1259	5404
189	1265	5393
190	1270	5382
191	1277	5376
192	1283	5365
193	1288	5352
194	1294	5345
195	1300	5335
196	1306	5326
197	1312	5317
198	1318	5306
199	1324	5299
200	1330	5289
201	1336	5278
202	1342	5271
203	1348	5260
204	1353	5249
205	1359	5239
206	1365	5230
207	1370	5219
208	1377	5212
209	1382	5201
210	1387	5189
211	1393	5180
212	1399	5170
213	1405	5163
214	1411	5154
215	1417	5144
216	1424	5139
217	1431	5135
218	1438	5130
219	1444	5122
220	1450	5112
221	1457	5106
222	1463	5098
223	1468	5088
224	1475	5082
225	1481	5072
226	1487	5066
227	1494	5059
228	1499	5049
229	1506	5043
230	1512	5034
231	1518	5026
232	1525	5020
233	1530	5011
234	1537	5004
235	1543	4997
236	1550	4990
237	1557	4985
238	1562	4976
239	1569	4970
240	1575	4961
241	1581	4952
242	1588	4947
243	1594	4939
244	1600	4931
245	1606	4923
246	1612	4914
247	1618	4908
248	1624	4899
249	1630	4892
250	1638	4888
251	1644	4880
252	1651	4875
253	1659	4872
254	1666	4867
255	1672	4860
256	1678	4852
257	1685	4847
258	1691	4839
259	1696	4829
260	1704	4825
261	1710	4818
262	1717	4814
263	1724	4806
264	1730	4798
265	1737	4795
266	1743	4787
267	1751	4783
268	1757	4775
269	1763	4768
270	1770	4763
271	1776	4756
272	1783	4750
273	1789	4741
274	1795	4732
275	1801	4725
276	1807	4718
277	1813	4709
278	1819	4702
279	1825	4694
280	1832	4687
281	1838	4680
282	1843	4671
283	1850	4664
284	1856	4656
285	1862	4648
286	1868	4641
287	1874	4633
288	1880	4626
289	1886	4619
290	1893	4613
291	1899	4605
292	1905	4597
293	1911	4589
294	1917	4581
295	1923	4574
296	1929	4568
297	1936	4561
298	1942	4554
299	1948	4546
300	1954	4539
301	1961	4532
302	1967	4525
303	1973	4518
304	1979	4511
305	1985	4503
306	1991	4495
307	1997	4488
308	2003	4480
309	2009	4473
310	2016	4466
311	2021	4458
312	2027	4450
313	2033	4443
314	2040	4436
315	2046	4429
316	2051	4420
317	2057	4412
318	2063	4405
319	2069	4397
320	2075	4390
321	2081	4383
322	2087	4375
323	2093	4368
324	2099	4361
325	2106	4354
326	2112	4347
327	2118	4340
328	2124	4332
329	2130	4325
330	2136	4318
331	2142	4310
332	2148	4303
333	2154	4296
334	2160	4289
335	2166	4282
336	2172	4274
337	2179	4267
338	2184	4260
339	2190	4252
340	2196	4245
341	2203	4239
342	2209	4231
343	2215	4224
344	2221	4217
345	2227	4209
346	2233	4203
347	2239	4195
348	2245	4189
349	2251	4182
350	2257	4174
351	2263	4167
352	2270	4160
353	2276	4153
354	2282	4146
355	2287	4138
356	2294	4132
357	2300	4124
358	2305	4117
359	2312	4111
360	2318	4104
361	2324	4097
362	2330	4090
363	2336	4083
364	2343	4076
365	2349	4069
366	2355	4061
367	2361	4054
368	2366	4047
369	2372	4039
370	2379	4033
371	2385	4026
372	2391	4019
373	2397	4012
374	2403	4005
375	2409	3998
376	2415	3991
377	2421	3984
378	2427	3977
379	2433	3969
380	2439	3963
381	2445	3956
382	2451	3949
383	2457	3942
384	2463	3934
385	2469	3927
386	2475	3920
387	2480	3913
388	2486	3905
389	2492	3899
390	2498	3891
391	2504	3884
392	2510	3877
393	2516	3870
394	2522	3863
395	2528	3857
396	2534	3849
397	2541	3843
398	2547	3836
399	2553	3829
400	2559	3822
401	2565	3816
402	2571	3809
403	2577	3802
404	2584	3796
405	2590	3790
406	2596	3783
407	2602	3776
408	2608	3769
409	2615	3763
410	2620	3755
411	2626	3748
412	2632	3741
413	2638	3734
414	2644	3727
415	2650	3720
416	2656	3714
417	2662	3707
418	2668	3699
419	2674	3693
420	2680	3686
421	2686	3679
422	2692	3673
423	2699	3667
424	2705	3660
425	2711	3653
426	2717	3646
427	2723	3639
428	2729	3632
429	2734	3625
430	2741	3619
431	2747	3611
432	2753	3605
433	2759	3598
434	2765	3591
435	2771	3584
436	2776	3577
437	2782	3570
438	2789	3564
439	2794	3557
440	2800	3550
441	2806	3543
442	2813	3537
443	2819	3530
444	2825	3524
445	2831	3517
446	2837	3510
447	2843	3504
448	2849	3497
449	2855	3490
450	2862	3484
451	2867	3476
452	2873	3469
453	2879	3463
454	2886	3457
455	2891	3449
456	2897	3442
457	2903	3436
458	2910	3429
459	2915	3422
460	2921	3416
461	2927	3409
462	2933	3402
463	2939	3396
464	2946	3389
465	2952	3383
466	2958	3376
467	2964	3370
468	2971	3364
469	2977	3358
470	2984	3351
471	2990	3345
472	2996	3338
473	3003	3332
474	3009	3326
475	3015	3319
476	3021	3313
477	3027	3306
478	3033	3299
479	3039	3293
480	3045	3286
481	3052	3280
482	3058	3274
483	3065	3267
484	3071	3261
485	3077	3255
486	3084	3248
487	3089	3241
488	3095	3235
489	3102	3229
490	3108	3222
491	3113	3215
492	3119	3208
493	3125	3201
494	3131	3195
495	3137	3188
496	3143	3181
